country,year,production_tonnes,production_flag,area_harvested_ha,area_harvested_flag,yield_kg_ha,yield_flag
Türkiye,2008,1464248.0,A,774371.0,A,1890.9,A
Türkiye,2009,1290654.0,A,778412.0,A,1658.1,A
Türkiye,2010,1415000.0,A,784031.0,A,1804.8,A
Türkiye,2011,1750000.0,A,798493.0,A,2191.6,A
Türkiye,2012,1820000.0,A,813765.0,A,2236.5,A
Türkiye,2013,1676000.0,A,825826.0,A,2029.5,A
Türkiye,2014,1768000.0,A,826092.0,A,2140.2,A
Türkiye,2015,1700000.0,A,836935.0,A,2031.2,A
Türkiye,2016,1730000.0,A,845542.0,A,2046.0,A
Türkiye,2017,2100000.0,A,846062.0,A,2482.1,A
Türkiye,2018,1500467.0,A,864428.0,A,1735.8,A
Türkiye,2019,1525000.0,A,879177.0,A,1734.6,A
Türkiye,2020,1316626.0,A,887077.0,A,1484.2,A
Türkiye,2021,1738680.0,A,889168.0,A,1955.4,A
Türkiye,2022,2976000.0,A,901126.0,A,3302.5,A
Türkiye,2023,1520000.0,A,903061.0,A,1683.2,A
Türkiye,2024,3750000.0,A,913319.0,A,4105.9,A
